Year,Date,Experiment,Plot,Species,Mass(g),Mass g/m^2)
2007,10/16/07,E244,29,Sporobolus cryptandrus,0.04,0.4
2007,09/18/07,E244,28,Agropyron repens,2.56,25.6
2007,09/18/07,E244,28,Crepis tectorum,0.11,1.1
2007,09/18/07,E244,28,Cyperus sp.,0.14,1.4
2007,09/18/07,E244,28,Lupinus perennis,1.41,14.1
2007,09/18/07,E244,28,Taraxicum officinalis,0.02,0.2
2007,10/05/07,E244,27,Agropyron repens,3.87,38.7
2007,10/05/07,E244,27,Aristida basiramea,0.01,0.1
2007,10/05/07,E244,27,Cyperus sp.,0.04,0.4
2007,10/05/07,E244,27,Euphorbia glyptosperma,0.04,0.4
2007,10/05/07,E244,27,Lupinus perennis,5.9,59
2007,10/05/07,E244,27,Polygonum convolvulus,0.15,1.5
2007,10/05/07,E244,27,Rumex acetosella,0.15,1.5
2007,10/05/07,E244,27,Taraxicum officinalis,0.03,0.3
2007,09/18/07,E244,26,Agropyron repens,1.59,15.9
2007,09/18/07,E244,26,Ambrosia artemisiifolia elatior,0.98,9.8
2007,09/18/07,E244,26,Aristida basiramea,0.06,0.6
2007,09/18/07,E244,26,Cyperus sp.,0.03,0.3
2007,09/18/07,E244,26,Euphorbia glyptosperma,0.03,0.3
2007,09/18/07,E244,26,Lupinus perennis,2.69,26.9
2007,09/18/07,E244,26,Taraxicum officinalis,0.01,0.1
2007,10/03/07,E244,31,Bouteloua gracilis,0.94,9.4
2007,10/03/07,E244,31,Lupinus perennis,0.91,9.1
2007,10/03/07,E244,31,Schizachyrium scoparium,4.29,42.9
2007,10/03/07,E244,31,Sorghastrum nutans,0.35,3.5
2007,10/16/07,E244,32,Amorpha canescens,0.95,9.5
2007,10/16/07,E244,32,Andropogon gerardi,0.9,9
2007,10/16/07,E244,32,Bouteloua gracilis,0.99,9.9
2007,10/16/07,E244,32,Lespedeza capitata,0.75,7.5
2007,10/16/07,E244,32,Liatris aspera,0.88,8.8
2007,10/16/07,E244,32,Petalostemum candidum,0.21,2.1
2007,10/16/07,E244,32,Petalostemum purpureum,3.16,31.6
2007,10/16/07,E244,32,Schizachyrium scoparium,5.2,52
2007,10/05/07,E244,33,Andropogon gerardi,0.9,9
2007,10/05/07,E244,33,Bouteloua gracilis,0.74,7.4
2007,10/05/07,E244,33,Coreopsis palmata,5.8,58
2007,10/05/07,E244,33,Lespedeza capitata,1.82,18.2
2007,10/05/07,E244,33,Lupinus perennis,9.13,91.3
2007,10/05/07,E244,33,Panicum virgatum,0.08,0.8
2007,10/05/07,E244,33,Petalostemum purpureum,0.18,1.8
2007,10/05/07,E244,33,Poa pratensis,0.35,3.5
2007,10/05/07,E244,33,Schizachyrium scoparium,6,60
2007,10/05/07,E244,33,Solidago rigida,0.16,1.6
2007,10/05/07,E244,33,Sorghastrum nutans,0.69,6.9
2007,10/05/07,E244,34,Amorpha canescens,0.12,1.2
2007,10/05/07,E244,34,Andropogon gerardi,4.23,42.3
2007,10/05/07,E244,34,Bouteloua gracilis,0.21,2.1
2007,10/05/07,E244,34,Lespedeza capitata,0.99,9.9
2007,10/05/07,E244,34,Lupinus perennis,0.87,8.7
2007,10/05/07,E244,34,Poa pratensis,0.01,0.1
2007,10/05/07,E244,34,Schizachyrium scoparium,9.35,93.5
2007,10/05/07,E244,34,Sorghastrum nutans,0.09,0.9
2007,10/16/07,E244,35,Andropogon gerardi,3.27,32.7
2007,10/16/07,E244,35,Bouteloua gracilis,0.84,8.4
2007,10/16/07,E244,35,Coreopsis palmata,5.92,59.2
2007,10/16/07,E244,35,Lespedeza capitata,3.62,36.2
2007,10/16/07,E244,35,Liatris aspera,3.27,32.7
2007,10/16/07,E244,35,Lupinus perennis,1.68,16.8
2007,10/16/07,E244,35,Panicum virgatum,1.22,12.2
2007,10/16/07,E244,35,Petalostemum candidum,0.07,0.7
2007,10/16/07,E244,35,Petalostemum purpureum,0.11,1.1
2007,10/16/07,E244,35,Schizachyrium scoparium,6.1,61
2007,10/16/07,E244,35,Solidago nemoralis,1.62,16.2
2007,10/16/07,E244,35,Sorghastrum nutans,0.66,6.6
2007,10/16/07,E244,35,Sporobolus cryptandrus,0.56,5.6
2007,10/16/07,E244,36,Amorpha canescens,28.42,284.2
2007,10/16/07,E244,36,Andropogon gerardi,0.43,4.3
2007,10/16/07,E244,36,Bouteloua gracilis,0.06,0.6
2007,10/16/07,E244,36,Koeleria cristata,0.04,0.4
2007,10/16/07,E244,36,Lupinus perennis,0.81,8.1
2007,10/16/07,E244,36,Petalostemum purpureum,1.63,16.3
2007,10/16/07,E244,36,Poa pratensis,1.13,11.3
2007,10/16/07,E244,36,Schizachyrium scoparium,10.56,105.6
2007,10/16/07,E244,36,Sorghastrum nutans,0.26,2.6
2007,10/16/07,E244,37,Andropogon gerardi,3.81,38.1
2007,10/16/07,E244,37,Lupinus perennis,8.47,84.7
2007,10/16/07,E244,37,Petalostemum purpureum,1.12,11.2
2007,10/16/07,E244,37,Poa pratensis,2.32,23.2
2007,10/16/07,E244,37,Schizachyrium scoparium,6.92,69.2
2007,10/16/07,E244,37,Sorghastrum nutans,0.24,2.4
2007,10/05/07,E244,38,Amorpha canescens,1.45,14.5
2007,10/05/07,E244,38,Andropogon gerardi,0.12,1.2
2007,10/05/07,E244,38,Lespedeza capitata,1.08,10.8
2007,10/05/07,E244,38,Lupinus perennis,17.54,175.4
2007,10/05/07,E244,38,Petalostemum purpureum,1.5,15
2007,10/05/07,E244,38,Poa pratensis,2.38,23.8
2007,10/05/07,E244,38,Schizachyrium scoparium,7.55,75.5
2007,10/05/07,E244,38,Sorghastrum nutans,0.24,2.4
2007,10/05/07,E244,39,Andropogon gerardi,3.73,37.3
2007,10/05/07,E244,39,Bouteloua gracilis,0.02,0.2
2007,10/05/07,E244,39,Liatris aspera,1.74,17.4
2007,10/05/07,E244,39,Lupinus perennis,19.24,192.4
2007,10/05/07,E244,39,Petalostemum purpureum,0.36,3.6
2007,10/05/07,E244,39,Poa pratensis,2.73,27.3
2007,10/05/07,E244,39,Schizachyrium scoparium,4.14,41.4
2007,10/05/07,E244,39,Sorghastrum nutans,0.24,2.4
2007,10/05/07,E244,40,Achillea millefolium(lanulosa),0.04,0.4
2007,10/05/07,E244,40,Andropogon gerardi,2.3,23
2007,10/05/07,E244,40,Lespedeza capitata,0.09,0.9
2007,10/05/07,E244,40,Lupinus perennis,9.07,90.7
2007,10/05/07,E244,40,Petalostemum purpureum,1.15,11.5
2007,10/05/07,E244,40,Poa pratensis,1.7,17
2007,10/05/07,E244,40,Schizachyrium scoparium,2.52,25.2
2007,10/05/07,E244,40,Sorghastrum nutans,2.24,22.4
2007,10/16/07,E244,41,Andropogon gerardi,2.03,20.3
2007,10/16/07,E244,41,Erigeron canadensis,0.01,0.1
2007,10/16/07,E244,41,Koeleria cristata,0.22,2.2
2007,10/16/07,E244,41,Schizachyrium scoparium,0.02,0.2
2007,10/16/07,E244,42,Andropogon gerardi,1.18,11.8
2007,10/16/07,E244,42,Poa pratensis,0.01,0.1
2007,10/16/07,E244,42,Schizachyrium scoparium,0.11,1.1
2007,10/16/07,E244,42,Sorghastrum nutans,0.43,4.3
